id,label,category,provider,outputKind,executionSite,executionPattern,wave,layers,envKey,handlerFiles,auditDocs,gaps
"ideogram-v4","Ideogram 4","image-gen","fal","image","async-registry","async-poll","W3","node|handler|async-poll|dual-route|keychain|provider-audit","IDEOGRAM_API_KEY | FAL_KEY","","fal/fal-universal|fal/flux|fal/kling","handler-file-unclear"
"image-compare","Image Compare","utility","utility","any","local-engine","sync","W0","node|local-handler","","","",""
"image-input","Image Input","utility","utility","image","local-engine","sync","W0","node|local-handler","","","","file-param-ipados"
"imagen-4-generate","Imagen 4","image-gen","google","image","sync-handler","sync","W2","node|handler|keychain|provider-audit","GOOGLE_API_KEY","google_gemini","google/gemini-nano-banana",""
"iterator-image","Image Iterator","utility","utility","image","local-engine","sync","W0","node|local-handler","","","",""
"iterator-text","Text Iterator","utility","utility","text","local-engine","sync","W0","node|local-handler","","","",""
"kling-o3","Kling Omni 3","video-gen","fal","video","async-registry","async-poll","W3","node|handler|async-poll|keychain|media-output|provider-audit","FAL_KEY","fal_universal","fal/fal-universal|fal/flux|fal/kling",""
"kling-v2-1","Kling v2.1","video-gen","fal","video","async-registry","async-poll","W3","node|handler|async-poll|keychain|media-output|provider-audit","FAL_KEY","fal_universal","fal/fal-universal|fal/flux|fal/kling",""
"kling-v3","Kling V3","video-gen","fal","video","async-registry","async-poll","W3","node|handler|async-poll|keychain|media-output|provider-audit","FAL_KEY","fal_universal","fal/fal-universal|fal/flux|fal/kling",""
"krea-2-generate","Krea 2","image-gen","krea","image","async-registry","async-poll","W6","node|handler|async-poll|keychain|provider-audit","KREA_API_TOKEN","","krea/krea-2","handler-file-unclear"
"krea-image-style-reference","Krea Image Style Ref","utility","utility","any","sync-handler","sync","W6","node|handler|provider-audit","","krea","krea/krea-2",""
"krea-moodboard","Krea Moodboard","utility","utility","text","sync-handler","sync","W6","node|handler|provider-audit","","krea","krea/krea-2",""
"krea-style","Krea Style","utility","utility","text","sync-handler","sync","W6","node|handler|provider-audit","","krea","krea/krea-2",""
"krea-style-search","Krea Style Search","analyzer","krea","text","sync-handler","sync","W6","node|handler|keychain|provider-audit","KREA_API_TOKEN","krea","krea/krea-2",""
"krea-style-train","Krea Style Train","image-gen","krea","text","async-registry","async-poll","W6","node|handler|async-poll|keychain|provider-audit","KREA_API_TOKEN","","krea/krea-2","handler-file-unclear"
"ltx-2-3","LTX 2.3","video-gen","fal","video","async-registry","async-poll","W3","node|handler|async-poll|keychain|media-output|provider-audit","FAL_KEY","fal_universal","fal/fal-universal|fal/flux|fal/kling",""
"ltx-video-2","LTX Video 2","video-gen","fal","video","async-registry","async-poll","W3","node|handler|async-poll|keychain|media-output|provider-audit","FAL_KEY","fal_universal","fal/fal-universal|fal/flux|fal/kling",""
"luma-ray2-flash-modify","Luma Ray 2 Flash Modify","video-gen","fal","video","async-registry","async-poll","W3","node|handler|async-poll|keychain|media-output|provider-audit","FAL_KEY","fal_universal","fal/fal-universal|fal/flux|fal/kling",""
"luma-ray2-i2v","Luma Ray 2 I2V","video-gen","fal","video","async-registry","async-poll","W3","node|handler|async-poll|keychain|media-output|provider-audit","FAL_KEY","fal_universal","fal/fal-universal|fal/flux|fal/kling",""
"luma-ray2-t2v","Luma Ray 2","video-gen","fal","video","async-registry","async-poll","W3","node|handler|async-poll|keychain|media-output|provider-audit","FAL_KEY","fal_universal","fal/fal-universal|fal/flux|fal/kling",""
"lyria-3","Lyria 3","audio-gen","google","audio","sync-handler","sync","W2","node|handler|keychain|media-output|provider-audit","GOOGLE_API_KEY","google_gemini","google/gemini-nano-banana",""
"mask-painter","Mask Painter","utility","utility","image","local-engine","sync","W0","node|local-handler","","","",""
"meshy-3d-print","Meshy 3D Print","3d-gen","meshy","3d","async-registry","async-poll","W5","node|handler|async-poll|keychain|media-output|provider-audit","MESHY_API_KEY","meshy","meshy/meshy","no-backend-test"
"meshy-animate","Meshy Animate","3d-gen","meshy","3d","async-registry","async-poll","W5","node|handler|async-poll|keychain|media-output|provider-audit","MESHY_API_KEY","meshy","meshy/meshy",""
"meshy-image-to-3d","Meshy 6 Image-to-3D","3d-gen","fal","3d","async-registry","async-poll","W3","node|handler|async-poll|dual-route|keychain|media-output|provider-audit","MESHY_API_KEY | FAL_KEY","meshy","fal/fal-universal|fal/flux|fal/kling","no-backend-test"
"meshy-image-to-image","Meshy Image-to-Image","image-gen","meshy","image","async-registry","async-poll","W5","node|handler|async-poll|keychain|provider-audit","MESHY_API_KEY","meshy","meshy/meshy",""
"meshy-multi-image-to-3d","Meshy Multi-Image-to-3D","3d-gen","meshy","3d","async-registry","async-poll","W5","node|handler|async-poll|keychain|media-output|provider-audit","MESHY_API_KEY","meshy","meshy/meshy",""
"meshy-remesh","Meshy Remesh","3d-gen","meshy","3d","async-registry","async-poll","W5","node|handler|async-poll|keychain|media-output|provider-audit","MESHY_API_KEY","meshy","meshy/meshy","no-backend-test"
"meshy-retexture","Meshy Retexture","3d-gen","meshy","3d","async-registry","async-poll","W5","node|handler|async-poll|keychain|media-output|provider-audit","MESHY_API_KEY","meshy","meshy/meshy","no-backend-test"
"meshy-rigging","Meshy Auto-Rig","3d-gen","meshy","3d","async-registry","async-poll","W5","node|handler|async-poll|keychain|media-output|provider-audit","MESHY_API_KEY","meshy","meshy/meshy","no-backend-test"
"meshy-text-to-3d","Meshy 6 Text-to-3D","3d-gen","fal","3d","async-registry","async-poll","W3","node|handler|async-poll|dual-route|keychain|media-output|provider-audit","MESHY_API_KEY | FAL_KEY","meshy","fal/fal-universal|fal/flux|fal/kling",""
"meshy-text-to-image","Meshy Text-to-Image","image-gen","meshy","image","async-registry","async-poll","W5","node|handler|async-poll|keychain|provider-audit","MESHY_API_KEY","meshy","meshy/meshy",""
"minimax-i2v","MiniMax I2V","video-gen","minimax","video","async-registry","async-poll","W4","node|handler|async-poll|keychain|media-output|provider-audit","MINIMAX_API_KEY","minimax","minimax/minimax",""
"minimax-s2v","MiniMax S2V","video-gen","minimax","video","async-registry","async-poll","W4","node|handler|async-poll|keychain|media-output|provider-audit","MINIMAX_API_KEY","minimax","minimax/minimax",""
"minimax-t2v","MiniMax T2V","video-gen","minimax","video","async-registry","async-poll","W4","node|handler|async-poll|keychain|media-output|provider-audit","MINIMAX_API_KEY","minimax","minimax/minimax",""
"mmaudio-v2","MMAudio V2 (Video Foley)","audio-gen","fal","video","async-registry","async-poll","W3","node|handler|async-poll|keychain|media-output|provider-audit","FAL_KEY","fal_universal","fal/fal-universal|fal/flux|fal/kling","no-backend-test"
"nano-banana","Nano Banana","image-gen","google","image","sync-handler","sync","W2","node|handler|keychain|provider-audit","GOOGLE_API_KEY","google_gemini","google/gemini-nano-banana",""
"nebula-moodboard","Moodboard","moodboard","utility","text","sync-handler","sync","W5","node|handler","","moodboard","","no-provider-audit"
"nous-portal-universal","Nous Portal","universal","nous","text","async-registry","stream","W6","node|handler|stream|oauth|provider-audit","","nous_portal","replicate-openrouter-nous/universal",""
"openai-stt","OpenAI Whisper STT","audio-gen","openai","text","sync-handler","sync","W1","node|handler|keychain|provider-audit","OPENAI_API_KEY","openai_audio","fal/openai-passthroughs|openai/dalle-3|openai/gpt-image-1",""
"openai-translate","OpenAI Audio Translate","audio-gen","openai","text","sync-handler","sync","W1","node|handler|keychain|provider-audit","OPENAI_API_KEY","openai_audio","fal/openai-passthroughs|openai/dalle-3|openai/gpt-image-1",""
"openai-tts","OpenAI TTS","audio-gen","openai","audio","sync-handler","sync","W1","node|handler|keychain|media-output|provider-audit","OPENAI_API_KEY","openai_audio","fal/openai-passthroughs|openai/dalle-3|openai/gpt-image-1",""
"openrouter-universal","OpenRouter","universal","openrouter","text","async-registry","stream","W3","node|handler|stream|keychain|provider-audit|intent","OPENROUTER_API_KEY","","replicate-openrouter-nous/universal","handler-file-unclear"
"pixverse-v4-5","PixVerse V4.5","video-gen","fal","video","async-registry","async-poll","W3","node|handler|async-poll|keychain|media-output|provider-audit","FAL_KEY","fal_universal","fal/fal-universal|fal/flux|fal/kling",""
"preview","Preview","utility","utility","any","local-engine","sync","W0","node|local-handler|provider-audit|intent","","meshy","meshy/meshy",""
"quiver-arrow-generate","Quiver Arrow Generate","image-gen","quiver","image","async-registry","stream","W5","node|handler|stream|keychain|provider-audit","QUIVER_API_KEY","quiver","quiver/_provider|quiver/arrow-generate|quiver/arrow-vectorize",""
"quiver-arrow-vectorize","Quiver Arrow Vectorize","image-gen","quiver","image","async-registry","stream","W5","node|handler|stream|keychain|provider-audit","QUIVER_API_KEY","quiver","quiver/_provider|quiver/arrow-generate|quiver/arrow-vectorize",""
"recraft-v4-raster","Recraft V4","image-gen","fal","image","async-registry","async-poll","W3","node|handler|async-poll|keychain|provider-audit","FAL_KEY","fal_universal","fal/fal-universal|fal/flux|fal/kling",""
"recraft-v4-svg","Recraft V4 SVG","image-gen","fal","image","async-registry","async-poll","W3","node|handler|async-poll|keychain|provider-audit","FAL_KEY","fal_universal","fal/fal-universal|fal/flux|fal/kling",""
"remotion-node","Remotion Composition","utility","utility","video","async-registry","async-poll","defer-remotion","node|handler|async-poll|media-output|remotion-defer","","remotion_node","","no-provider-audit"
"remove-background","Remove Background","transform","fal","image","async-registry","async-poll","W3","node|handler|async-poll|keychain|provider-audit","FAL_KEY","fal_universal","fal/fal-universal|fal/flux|fal/kling",""
"replicate-universal","Replicate","universal","replicate","any","async-registry","async-poll","W3","node|handler|async-poll|keychain|provider-audit","REPLICATE_API_TOKEN","","replicate-openrouter-nous/universal","handler-file-unclear"
"reroute","Reroute","utility","utility","any","local-engine","sync","W0","node|local-handler","","","",""
"router","Router","utility","utility","any","local-engine","sync","W0","node|local-handler|provider-audit","","","replicate-openrouter-nous/universal",""
"runway-act-two","Runway Act-Two","video-gen","runway","video","async-registry","async-poll","W4","node|handler|async-poll|keychain|media-output|provider-audit","RUNWAY_API_KEY","runway","runway/runway",""
"runway-aleph","Runway Aleph","video-gen","runway","video","async-registry","async-poll","W4","node|handler|async-poll|keychain|media-output|provider-audit","RUNWAY_API_KEY","runway","runway/runway",""
"runway-dubbing","Runway Voice Dubbing","audio-gen","runway","audio","async-registry","async-poll","W4","node|handler|async-poll|keychain|media-output|provider-audit","RUNWAY_API_KEY","runway","runway/runway",""
"runway-image","Runway Image","image-gen","runway","image","async-registry","async-poll","W4","node|handler|async-poll|keychain|provider-audit","RUNWAY_API_KEY","runway","runway/runway",""
"runway-sts","Runway Speech-to-Speech","audio-gen","runway","audio","async-registry","async-poll","W4","node|handler|async-poll|keychain|media-output|provider-audit","RUNWAY_API_KEY","runway","runway/runway",""
"runway-tts","Runway TTS","audio-gen","runway","audio","async-registry","async-poll","W4","node|handler|async-poll|keychain|media-output|provider-audit","RUNWAY_API_KEY","runway","runway/runway",""
"runway-upscale","Runway Upscale","transform","runway","image","async-registry","async-poll","W4","node|handler|async-poll|keychain|provider-audit","RUNWAY_API_KEY","runway","runway/runway",""
"runway-video","Runway Video","video-gen","runway","video","async-registry","async-poll","W4","node|handler|async-poll|keychain|media-output|provider-audit","RUNWAY_API_KEY","runway","runway/runway",""
"seedance-2-fast-i2v","Seedance 2.0 Fast I2V","video-gen","fal","video","async-registry","async-poll","W3","node|handler|async-poll|keychain|media-output|provider-audit","FAL_KEY","fal_universal","fal/fal-universal|fal/flux|fal/kling",""
"seedance-2-fast-t2v","Seedance 2.0 Fast T2V","video-gen","fal","video","async-registry","async-poll","W3","node|handler|async-poll|keychain|media-output|provider-audit","FAL_KEY","fal_universal","fal/fal-universal|fal/flux|fal/kling",""
"seedance-2-i2v","Seedance 2.0 I2V","video-gen","fal","video","async-registry","async-poll","W3","node|handler|async-poll|keychain|media-output|provider-audit","FAL_KEY","fal_universal","fal/fal-universal|fal/flux|fal/kling",""
"seedance-2-r2v","Seedance 2.0 R2V","video-gen","fal","video","async-registry","async-poll","W3","node|handler|async-poll|keychain|media-output|provider-audit","FAL_KEY","fal_universal","fal/fal-universal|fal/flux|fal/kling",""
"seedance-2-t2v","Seedance 2.0 Text-to-Video","video-gen","fal","video","async-registry","async-poll","W3","node|handler|async-poll|keychain|media-output|provider-audit","FAL_KEY","fal_universal","fal/fal-universal|fal/flux|fal/kling",""
"seedance-v1-5","Seedance V1.5 Pro (I2V)","video-gen","fal","video","async-registry","async-poll","W3","node|handler|async-poll|keychain|media-output|provider-audit","FAL_KEY","fal_universal","fal/fal-universal|fal/flux|fal/kling",""
"seedream-4-5","Seedream 4.5","image-gen","fal","image","async-registry","async-poll","W3","node|handler|async-poll|keychain|provider-audit","FAL_KEY","fal_universal","fal/fal-universal|fal/flux|fal/kling",""
"seedvr-video-upscale","SeedVR2 Video Upscale","transform","fal","video","async-registry","async-poll","W3","node|handler|async-poll|keychain|media-output|provider-audit","FAL_KEY","fal_universal","fal/fal-universal|fal/flux|fal/kling","no-backend-test"
"seedvr2-upscale","SeedVR2 Upscale","transform","fal","image","async-registry","async-poll","W3","node|handler|async-poll|keychain|provider-audit","FAL_KEY","fal_universal","fal/fal-universal|fal/flux|fal/kling",""
"sora-2","Sora 2 (sunsets Sep '26)","video-gen","fal","video","async-registry","async-poll","W3","node|handler|async-poll|keychain|media-output|provider-audit","FAL_KEY","fal_universal","fal/fal-universal|fal/flux|fal/kling",""
"stable-audio-25","Stable Audio 2.5","audio-gen","fal","audio","async-registry","async-poll","W3","node|handler|async-poll|keychain|media-output|provider-audit","FAL_KEY","fal_universal","fal/fal-universal|fal/flux|fal/kling","no-backend-test"
"sticky-note","Sticky Note","utility","utility","any","local-engine","sync","W0","node|local-handler","","","",""
"style-reference","Style Reference","utility","google","image","async-registry","sync","W2","node|handler|keychain|provider-audit","GOOGLE_API_KEY","style_reference","google/gemini-nano-banana","file-param-ipados"
"svg-rasterize","SVG Rasterize","transform","utility","image","local-engine","sync","W0","node|local-handler","","","",""
"text-input","Text Input","utility","utility","text","local-engine","sync","W0","node|local-handler|intent","","","",""
"veo-3","Veo 3.1","video-gen","google","video","async-registry","async-poll","W2","node|handler|async-poll|dual-route|keychain|media-output|provider-audit","GOOGLE_API_KEY | FAL_KEY","veo","google/gemini-nano-banana",""
"video-edit","Video Edit","utility","utility","video","async-registry","async-poll","defer-v1.2","node|handler|async-poll|media-output|ffmpeg","","video_edit","","no-provider-audit"
"video-input","Video Input","utility","utility","video","local-engine","sync","W0","node|local-handler|media-output","","","","file-param-ipados"
"wan-2-6-i2v","Wan 2.6 I2V","video-gen","fal","video","async-registry","async-poll","W3","node|handler|async-poll|keychain|media-output|provider-audit","FAL_KEY","fal_universal","fal/fal-universal|fal/flux|fal/kling",""
"wan-2-6-r2v","Wan 2.6 R2V","video-gen","fal","video","async-registry","async-poll","W3","node|handler|async-poll|keychain|media-output|provider-audit","FAL_KEY","fal_universal","fal/fal-universal|fal/flux|fal/kling",""
"wan-2-6-t2v","Wan 2.6 T2V","video-gen","fal","video","async-registry","async-poll","W3","node|handler|async-poll|keychain|media-output|provider-audit","FAL_KEY","fal_universal","fal/fal-universal|fal/flux|fal/kling",""
